entity	table	column	type	required	pk	ref	note
Table	participant	participant_id	string	TRUE	TRUE	NA	Subject/Participant Identifier (primary key)
Table	participant	internal_project_id	string	NA	NA	NA	Information field about cohort. Suggested use case is for the identification of a set of subjects from a specific data provider in order to identify this subset within searches (and for manuscript referencing)
Table	participant	gregor_center	enumeration	TRUE	NA	NA	GREGoR Center to which the participant is originally associated
Table	participant	consent_code	enumeration	TRUE	NA	NA	Consent group pertaining to this participant's data
Table	participant	recontactable	enumeration	NA	NA	NA	Is the originating GREGoR Center likely able to recontact this participant
Table	participant	prior_testing	string	NA	NA	NA	Text description of any genetic testing for individual conducted prior to enrollment
Table	participant	pmid_id	delimited_list_of_integers	NA	NA	NA	Case specific PubMed ID if applicable
Table	participant	family_id	string	TRUE	NA	> family.family_id	Identifier for family
Table	participant	paternal_id	string	TRUE	NA	NA	subject_id for father; 0 if not available
Table	participant	maternal_id	string	TRUE	NA	NA	subject_id for mother; 0 if not available
Table	participant	twin_id	string	NA	NA	NA	subject_id for twins, triplets, etc; 0 if not available
Table	participant	proband_relationship	enumeration	TRUE	NA	NA	Text description of individual relationship to proband in family, especially useful to capture relationships when connecting distant relatives and connecting relatives not studied
Table	participant	proband_relationship_detail	string	NA	NA	NA	Other proband relationship not captured in enumeration above
Table	participant	sex	enumeration	TRUE	NA	NA	Biological sex assigned at birth (aligned with All of Us). If individual has a known DSD / not expected sex chromosome karyotype, this can be noted in the phenotype information section.
Table	participant	sex_detail	string	NA	NA	NA	Optional free-text field to describe known discrepancies between 'sex' value (female=>XX, male=>XY) and actual sex chromosome karyotype
Table	participant	reported_race	enumeration	NA	NA	NA	Self/submitter-reported race (OMB categories)
Table	participant	reported_ethnicity	enumeration	NA	NA	NA	Self/submitter-reported ethnicity (OMB categories)
Table	participant	ancestry_detail	string	NA	NA	NA	Additional specific ancestry description free text beyond what is captured by OMB race/ethnicity categories
Table	participant	age_at_last_observation	float	NA	NA	NA	Age at last observation, aka age in years at the last time the center can vouch for the accuracy phenotype data. For conditions with later age of onset, this field lets users know if individuals marked as unaffected were younger or older than the age when the phenotype is expected to appear.
Table	participant	affected_status	enumeration	NA	NA	NA	Indicate affected status of individual (overall with respect to primary phenotype in the family)
Table	participant	phenotype_description	string	NA	NA	NA	human-readable ""Phenotypic one-line summary"" for why this individual is of interest. Could be the same as the term_details value in the Phenotype table. Strongly encourage/required for proband.
Table	participant	age_at_enrollment	float	NA	NA	NA	age in years at which consent was originally obtained
Table	family	family_id	string	TRUE	TRUE	NA	Identifier for family (primary key)
Table	family	consanguinity	enumeration	TRUE	NA	NA	Indicate if consanguinity is present or suspected within a family
Table	family	consanguinity_detail	string	NA	NA	NA	Free text description of any additional consanguinity details
Table	family	pedigree_file	string	NA	NA	NA	name of file (renamed from pedigree_image because it can contain a PED file or image)
Table	family	pedigree_file_detail	string	NA	NA	NA	Free text description of other family structure/pedigree file caption or legend.
Table	family	family_history_detail	NA	NA	NA	NA	Details about family history that do not fit into structured fields. Family relationship terms should be relative to the proband.
Table	phenotype	phenotype_id	string	TRUE	NA	NA	primary key
Table	phenotype	participant_id	string	TRUE	TRUE	> participant.participant_id	Subject/Participant Identifier (primary key)
Table	phenotype	term_id	string	TRUE	NA	NA	NA
Table	phenotype	presence	enumeration	TRUE	NA	NA	NA
Table	phenotype	ontology	NA	TRUE	NA	NA	NA
Table	phenotype	additional_details	string	NA	NA	NA	modifier of a term where the additional details are not supported/available as a term in HPO
Table	phenotype	onset_age_range	enumeration	NA	NA	NA	NA
Table	phenotype	additional_modifiers	NA	NA	NA	NA	NA
Table	analyte	analyte_id	string	TRUE	TRUE	NA	identifier for an analyte from a primary biosample source (primary key)
Table	analyte	participant_id	string	TRUE	NA	> participant.participant_id	NA
Table	analyte	analyte_type	enumeration	TRUE	NA	NA	analyte derived from the primary_biosample_type. The actual thing you're sticking into a machine to analyze/sequence
Table	analyte	analyte_processing_details	string	NA	NA	NA	details about how the analyte or original biosample was extracted or processed
Table	analyte	primary_biosample	enumeration	TRUE	NA	NA	Tissue type of biosample taken from the participant that the analyte was extracted or processed from (for unknown can use tissue - UBERON:0000479), e.g. skin, liver, brain
